authors,big_sort,big_url,cover_link,detail_link,name,price,pub_time,publisher,small_sort,small_url
 弗雷德里克·巴克曼 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t5518/119/2393591974/306451/f61ba8fe/591a6d4aN8880cf45.jpg,https://item.jd.com/12190548.html,外婆的道歉信（马思纯倾情推荐  赠手写信）,26.50,2017-05,天津人民出版社,外国小说,https://list.jd.com/1713-3258-3303.html
 皮尔斯·布朗 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/jfs/t8851/279/993093590/427555/e902969a/59b268b1N2b4b2851.jpg,https://item.jd.com/12201762.html,火星崛起2：黄金之子,42.10,2017-06,江苏凤凰文艺出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 丹尼尔·席尔瓦 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t3181/314/8875381747/325063/b53f70ba/58cbca8bN1830f0d8.jpg,https://item.jd.com/12153478.html,暗杀大师：死亡信使（从总统到中学生，37国读者持续追看17年！）,36.20,2017-04,江苏凤凰文艺出版社,外国小说,https://list.jd.com/1713-3258-3303.html
 川端康成 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/jfs/t160/296/1904501505/310531/8aa6d66d/53bdfce5N13000ab1.jpg,https://item.jd.com/11498857.html,川端康成：伊豆的舞女（2014版）,26.30,2014-07,南海出版公司,外国小说,https://list.jd.com/1713-3258-3303.html
 格雷厄姆·格林 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t4714/279/218409105/464606/5da2e037/58cbc3d0N174a7535.jpg,https://item.jd.com/12153598.html,恋情的终结（精装典藏版）,42.10,2017-04,江苏凤凰文艺出版社,外国小说,https://list.jd.com/1713-3258-3303.html
 东野圭吾 ,小说,https://channel.jd.com/1713-3258.html,https://img10.360buyimg.com/n7/jfs/t3202/303/3746936272/419712/5ec18081/57f881aaN0a9b287e.jpg,https://item.jd.com/12045340.html,日本当代小说四大杰作（新经典严选，套装共4册）,130.10,2016-10,南海出版公司,外国小说,https://list.jd.com/1713-3258-3303.html
 猫腻 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/jfs/t5446/152/2284004334/454078/9c60f75d/59196291N1556fa11.jpg,https://item.jd.com/12196952.html,择天记（套装1-8册）,246.50,2017-05,人民文学出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 崔西·西克曼 ,小说,https://channel.jd.com/1713-3258.html,https://img14.360buyimg.com/n7/g7/M03/00/13/rBEHZlA29UgIAAAAAAF1WWBsGtQAAAH0AMzZXgAAXVx230.jpg,https://item.jd.com/11037284.html,龙枪传奇（套装全3册）,81.00,2012-06,译林出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 斯蒂芬妮·梅尔 ,小说,https://channel.jd.com/1713-3258.html,https://img10.360buyimg.com/n7/17477/4973c1df-fb0c-417b-a91e-a0e652e67eb0.jpg,https://item.jd.com/10253970.html,暮光之城系列（套装共4册）,107.90,2009-04,接力出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 猫腻 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t5122/50/2279985368/544508/77ed6792/5919614eN1f225568.jpg,https://item.jd.com/12196966.html,择天记（套装5-8册）,123.20,2017-05,人民文学出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 猫腻 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t5050/197/1186551943/498893/9740a56d/58edc464Nbb0bb761.jpg,https://item.jd.com/12173136.html,择天记（套装1-4册）,120.90,2017-04,人民文学出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 宫白羽 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t4636/298/216779408/197190/91acd99a/58cbbe6dN9280b003.jpg,https://item.jd.com/12135658.html,十二金钱镖（套装上中下卷）,74.30,2017-01,北岳文艺出版社,武侠,https://list.jd.com/1713-3258-3307.html
 江南 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/g10/M00/16/1C/rBEQWFFwvekIAAAAAAKDJTiNbA4AAEeJADM_dwAAoM9738.jpg,https://item.jd.com/11155128.html,龙族3：黑月之潮（上）,22.00,2012-12,长江出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 郑证因 ,小说,https://channel.jd.com/1713-3258.html,https://img10.360buyimg.com/n7/jfs/t2431/295/2897571687/67265/2647d003/571dbd13N4210053d.jpg,https://item.jd.com/11917570.html,鹰爪王（全六卷插图版）,122.40,2016-01,北岳文艺出版社,武侠,https://list.jd.com/1713-3258-3307.html
 川端康成 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t1078/284/803165234/852231/dfb8ceb5/5549ce77Nd8f53459.jpg,https://item.jd.com/11377321.html,川端康成：古都,29.60,2014-01,南海出版公司,外国小说,https://list.jd.com/1713-3258-3303.html
 还珠楼主 ,小说,https://channel.jd.com/1713-3258.html,https://img14.360buyimg.com/n7/jfs/t643/181/1378581670/77547/842a2f96/54cad664Nf552c5ed.jpg,https://item.jd.com/11643909.html,蜀山剑侠传（插图本  套装共10册）,251.20,2015-01,北岳文艺出版社,武侠,https://list.jd.com/1713-3258-3307.html
 泰德·威廉姆斯 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t6088/296/3022749034/344568/cabb245/594b915dN95ba76ea.jpg,https://item.jd.com/12046971.html,雾影边境（套装上下册）,67.90,2017-01,西南师范大学出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 乔治.R.R.马丁 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/jfs/t2932/208/672432724/999942/ade170ed/5763b274N2458174b.jpg,https://item.jd.com/11966442.html,冰与火之歌的世界,176.70,2016-02,重庆出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 伍绮诗 ,小说,https://channel.jd.com/1713-3258.html,https://img10.360buyimg.com/n7/jfs/t10717/170/340538131/533810/7ef4f567/59cc95d6Nb255d38c.jpg,https://item.jd.com/11709455.html,无声告白　【荐书联盟推荐】,24.10,2015-08,江苏凤凰文艺出版社,外国小说,https://list.jd.com/1713-3258-3303.html
 徐皓峰 ,小说,https://channel.jd.com/1713-3258.html,https://img10.360buyimg.com/n7/jfs/t1228/285/1366298197/1145934/a9272352/5594e5cbNacab9dd3.jpg,https://item.jd.com/11722735.html,徐皓峰口述武林（道士下山、逝去的武林、高术莫用、武人琴音）（京东套装共4册）,111.40,2014-06,人民文学出版社,武侠,https://list.jd.com/1713-3258-3307.html
 天下霸唱 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/jfs/t2848/83/287401256/477501/f19b3084/570ce621N5da1eabb.jpg,https://item.jd.com/11888857.html,鬼吹灯（套装共8册）,178.00,2016-01,青岛出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 平江不肖生 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t2122/217/2447970340/215728/a3463db2/56d6ba3aN4d4d65ef.jpg,https://item.jd.com/11878753.html,江湖奇侠传（套装上中下册）,67.40,2015-08,北岳文艺出版社,武侠,https://list.jd.com/1713-3258-3307.html
 斯蒂芬·金 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t8569/192/2460672362/363619/22b004c4/59cdb98cN7b7b989b.jpg,https://item.jd.com/12197641.html,闪灵/斯蒂芬·金作品系列,39.60,2017-09,人民文学出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 徐皓峰 ,小说,https://channel.jd.com/1713-3258.html,https://img10.360buyimg.com/n7/jfs/t904/32/541515360/945712/8555d6dc/552f1146N81baef45.jpg,https://item.jd.com/11472870.html,道士下山（癸巳年修订本）,27.70,2014-06,人民文学出版社,武侠,https://list.jd.com/1713-3258-3307.html
 天下霸唱 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/jfs/t4405/229/2730411108/369935/4869a3fa/591e870bN244c9f20.jpg,https://item.jd.com/12200282.html,天下霸唱作品集：地底世界之幽潜重泉,27.40,2017-07,北京联合出版公司,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 小泉八云 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t3226/193/675210394/176192/b8844d0/57bd2e62Nfa35f523.jpg,https://item.jd.com/11959693.html,怪谈（精装典藏本）,19.20,2016-08,天津人民出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 斯蒂芬·金 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t5650/32/3600692685/586011/4e1ceb49/593f87f2N6a563c6c.jpg,https://item.jd.com/12209676.html,斯蒂芬·金经典著作：肖申克的救赎、绿里（套装共2册）,57.10,2016-10,人民文学出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 天下霸唱 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t6949/235/914963875/390795/57d4d410/597b090eN21276b9a.jpg,https://item.jd.com/12226946.html,天下霸唱作品集：天坑鹰猎,25.80,2017-06,文联出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 斯蒂芬·金 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/g8/M00/10/0C/rBEHZ1DFO84IAAAAAACaazoIJdkAADMtwHbCUkAAJqD878.jpg,https://item.jd.com/11132107.html,尸骨袋,31.50,2012-10,人民文学出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 吉尔莫·德尔·托罗 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t364/292/715697708/51892/13f25a47/542a3f31Nd031a464.jpg,https://item.jd.com/11555218.html,血族三部曲之二：坠落,25.40,2014-10,漓江出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 梦枕獏 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/jfs/t7621/231/1164536646/527908/38ba85ae/599a9b91N40e5929d.jpg,https://item.jd.com/12162837.html,妖猫传：沙门空海之大唐鬼宴3,25.70,2017-09,北京联合出版公司,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 萧盛 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t181/330/1509321130/138834/eb8243dd/53b12ffcN9ba20886.jpg,https://item.jd.com/11492166.html,中国奇异档案记录第二季,17.90,2014-07,吉林文史出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
 天下霸唱 ,小说,https://channel.jd.com/1713-3258.html,https://img14.360buyimg.com/n7/jfs/t2338/92/1593911876/180057/d27d125e/56cec85eN3ece98cc.jpg,https://item.jd.com/11870319.html,云南虫谷/鬼吹灯3,21.40,2016-01,青岛出版社,惊悚/恐怖,https://list.jd.com/1713-3258-3305.html
